Iteration, Loss, PSNR_noisy, PSNR_gt 
00113, 0.038251, 14.173602, 15.295758, 13.479223 
00114, 0.038232, 14.175744, 15.298571, 13.506610 
00115, 0.038214, 14.177779, 15.301245, 13.533730 
00116, 0.038197, 14.179712, 15.303785, 13.560582 
00117, 0.038181, 14.181548, 15.306199, 13.587164 
00118, 0.038165, 14.183293, 15.308493, 13.613476 
00119, 0.038151, 14.184951, 15.310672, 13.639516 
00120, 0.038137, 14.186526, 15.312743, 13.665284 
00121, 0.038124, 14.188024, 15.314711, 13.690778 
00122, 0.038111, 14.189448, 15.316582, 13.715998 
00123, 0.038100, 14.190802, 15.318361, 13.740943 
00124, 0.038088, 14.192090, 15.320051, 13.765614 
00125, 0.038078, 14.193314, 15.321660, 13.790010 
00126, 0.038067, 14.194480, 15.323190, 13.814130 
00127, 0.038058, 14.195589, 15.324646, 13.837975 
00128, 0.038048, 14.196644, 15.326033, 13.861545 
00129, 0.038040, 14.197650, 15.327353, 13.884840 
00130, 0.038031, 14.198607, 15.328612, 13.907861 
00131, 0.038023, 14.199520, 15.329810, 13.930608 
00132, 0.038016, 14.200389, 15.330952, 13.953081 
00133, 0.038008, 14.201219, 15.332041, 13.975282 
00134, 0.038001, 14.202010, 15.333079, 13.997211 
00135, 0.037995, 14.202765, 15.334068, 14.018868 
00136, 0.037988, 14.203486, 15.335013, 14.040255 
00137, 0.037982, 14.204175, 15.335915, 14.061373 
00138, 0.037977, 14.204834, 15.336776, 14.082222 
00139, 0.037971, 14.205464, 15.337600, 14.102804 
00140, 0.037966, 14.206067, 15.338389, 14.123120 
00141, 0.037961, 14.206644, 15.339144, 14.143171 
00142, 0.037956, 14.207198, 15.339866, 14.162959 
00143, 0.037951, 14.207729, 15.340559, 14.182485 
00144, 0.037947, 14.208238, 15.341224, 14.201751 
00145, 0.037943, 14.208728, 15.341861, 14.220757 
00146, 0.037938, 14.209199, 15.342474, 14.239507 
00147, 0.037935, 14.209653, 15.343063, 14.258000 
00148, 0.037931, 14.210090, 15.343630, 14.276240 
00149, 0.037927, 14.210512, 15.344177, 14.294228 
00150, 0.037923, 14.210919, 15.344704, 14.311965 
00151, 0.037920, 14.211313, 15.345213, 14.329454 
00152, 0.037917, 14.211695, 15.345706, 14.346696 
00153, 0.037913, 14.212065, 15.346183, 14.363694 
00154, 0.037910, 14.212424, 15.346646, 14.380449 
00155, 0.037907, 14.212774, 15.347096, 14.396963 
00156, 0.037904, 14.213115, 15.347533, 14.413240 
00157, 0.037901, 14.213447, 15.347959, 14.429279 
00158, 0.037899, 14.213772, 15.348375, 14.445085 
00159, 0.037896, 14.214091, 15.348782, 14.460659 
00160, 0.037893, 14.214403, 15.349181, 14.476002 
00161, 0.037890, 14.214710, 15.349572, 14.491119 
00162, 0.037888, 14.215013, 15.349957, 14.506009 
00163, 0.037885, 14.215312, 15.350336, 14.520677 
00164, 0.037883, 14.215608, 15.350710, 14.535123 
00165, 0.037880, 14.215902, 15.351081, 14.549351 
00166, 0.037877, 14.216194, 15.351450, 14.563363 
00167, 0.037875, 14.216485, 15.351816, 14.577161 
00168, 0.037872, 14.216775, 15.352182, 14.590747 
00169, 0.037870, 14.217067, 15.352547, 14.604124 
00170, 0.037867, 14.217359, 15.352914, 14.617295 
00171, 0.037865, 14.217654, 15.353283, 14.630261 
00172, 0.037862, 14.217952, 15.353655, 14.643025 
00173, 0.037859, 14.218254, 15.354031, 14.655589 
00174, 0.037857, 14.218561, 15.354413, 14.667956 
00175, 0.037854, 14.218873, 15.354801, 14.680129 
