Iteration, Loss, PSNR_noisy, PSNR_gt 
00113, 0.049118, 13.087600, 13.912640, 14.359781 
00114, 0.036355, 14.394392, 15.580243, 14.379751 
00115, 0.037917, 14.211624, 15.352602, 14.403281 
00116, 0.037887, 14.215122, 15.356899, 14.426124 
00117, 0.038044, 14.197164, 15.334317, 14.448447 
00118, 0.038214, 14.177723, 15.309743, 14.470399 
00119, 0.037579, 14.250597, 15.401228, 14.490180 
00120, 0.037391, 14.272316, 15.427085, 14.508364 
00121, 0.037457, 14.264725, 15.415404, 14.525050 
00122, 0.037567, 14.251892, 15.397189, 14.540289 
00123, 0.037583, 14.250119, 15.399409, 14.557677 
00124, 0.037926, 14.210681, 15.341978, 14.570889 
00125, 0.037963, 14.206350, 15.336776, 14.583679 
00126, 0.037826, 14.222145, 15.358438, 14.596538 
00127, 0.037645, 14.242914, 15.387528, 14.610010 
00128, 0.037504, 14.259261, 15.410085, 14.623820 
00129, 0.037522, 14.257101, 15.406280, 14.637273 
00130, 0.037487, 14.261218, 15.415479, 14.652229 
00131, 0.038608, 14.133171, 15.253922, 14.669902 
00132, 0.037499, 14.259788, 15.413630, 14.685100 
00133, 0.037430, 14.267860, 15.423446, 14.700050 
00134, 0.037330, 14.279417, 15.437182, 14.714625 
00135, 0.037237, 14.290204, 15.449658, 14.728779 
00136, 0.037249, 14.288879, 15.447648, 14.742683 
00137, 0.037124, 14.303418, 15.464011, 14.755769 
00138, 0.037087, 14.307750, 15.468928, 14.768456 
00139, 0.037031, 14.314359, 15.477011, 14.780807 
00140, 0.037151, 14.300321, 15.456803, 14.792402 
00141, 0.036924, 14.326958, 15.495817, 14.805084 
00142, 0.036822, 14.338922, 15.510295, 14.817680 
00143, 0.036788, 14.342894, 15.515661, 14.830218 
00144, 0.036820, 14.339168, 15.511631, 14.843322 
00145, 0.036708, 14.352361, 15.525691, 14.855989 
00146, 0.036798, 14.341777, 15.509506, 14.868747 
00147, 0.036671, 14.356765, 15.528932, 14.881304 
00148, 0.036548, 14.371327, 15.548446, 14.893644 
00149, 0.036586, 14.366895, 15.541605, 14.905521 
00150, 0.036477, 14.379859, 15.558643, 14.917521 
00151, 0.036474, 14.380193, 15.560930, 14.930002 
00152, 0.036410, 14.387769, 15.567950, 14.941610 
00153, 0.036373, 14.392196, 15.573188, 14.953041 
00154, 0.036313, 14.399437, 15.584604, 14.965018 
00155, 0.036291, 14.402024, 15.584564, 14.976157 
00156, 0.036262, 14.405469, 15.589223, 14.987200 
00157, 0.037562, 14.252538, 15.398266, 15.000150 
00158, 0.036927, 14.326554, 15.480862, 15.010575 
00159, 0.036984, 14.319919, 15.485709, 15.022827 
00160, 0.036307, 14.400126, 15.582460, 15.032181 
00161, 0.036313, 14.399353, 15.582485, 15.041373 
00162, 0.036435, 14.384810, 15.562266, 15.049981 
00163, 0.036209, 14.411844, 15.600799, 15.059402 
00164, 0.036085, 14.426700, 15.618377, 15.068686 
00165, 0.036050, 14.430935, 15.623902, 15.078246 
00166, 0.035925, 14.445981, 15.643362, 15.088407 
00167, 0.035883, 14.451062, 15.648659, 15.098923 
00168, 0.035834, 14.456989, 15.654872, 15.109555 
00169, 0.035790, 14.462386, 15.659751, 15.120201 
00170, 0.035706, 14.472557, 15.672153, 15.130778 
00171, 0.035771, 14.464736, 15.660428, 15.140888 
00172, 0.036819, 14.339327, 15.501825, 15.152794 
00173, 0.035931, 14.445355, 15.637101, 15.162715 
00174, 0.035671, 14.476871, 15.674560, 15.171340 
00175, 0.035929, 14.445589, 15.631658, 15.179229 
00176, 0.035556, 14.490883, 15.695409, 15.187667 
00177, 0.035453, 14.503506, 15.712573, 15.196407 
00178, 0.035323, 14.519388, 15.735583, 15.205888 
00179, 0.035296, 14.522731, 15.741025, 15.215974 
00180, 0.035372, 14.513408, 15.727872, 15.226095 
00181, 0.035040, 14.554396, 15.780231, 15.237149 
00182, 0.034833, 14.580059, 15.809663, 15.248677 
00183, 0.035289, 14.523638, 15.723520, 15.258590 
00184, 0.036608, 14.364268, 15.520670, 15.265547 
00185, 0.034400, 14.634476, 15.877545, 15.276250 
00186, 0.034350, 14.640718, 15.889947, 15.287319 
00187, 0.034290, 14.648298, 15.902696, 15.298966 
00188, 0.034025, 14.681959, 15.944961, 15.310187 
00189, 0.038681, 14.125042, 15.214074, 15.321270 
00190, 0.035338, 14.517544, 15.729090, 15.328205 
00191, 0.036489, 14.378405, 15.546372, 15.333010 
00192, 0.037027, 14.314814, 15.461993, 15.336933 
00193, 0.035866, 14.453125, 15.651872, 15.342124 
00194, 0.035834, 14.457080, 15.664354, 15.348818 
00195, 0.036436, 14.384654, 15.573754, 15.356315 
00196, 0.036329, 14.397475, 15.582718, 15.360855 
00197, 0.037122, 14.303690, 15.470597, 15.369222 
00198, 0.036723, 14.350607, 15.528853, 15.376934 
00199, 0.035600, 14.485473, 15.699088, 15.384378 
